net,total_time,epoch_time,step_time,mse,inference_time,parameters,name,batch_size,learning_rate,opt,model,epochs,device,topology,device_name
[100  50  26],19.882150411605835,9.926365494728088,0.006815692356654576,0.009391592,0.012476444244384766,11503,fully_connected_[100  50  26]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[100  50  26],14.610799074172974,7.288161873817444,0.004950314651042113,0.009621899,0.015050649642944336,11503,fully_connected_[100  50  26]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[12800  6400  3328],2562.1806650161743,1280.7760581970215,0.9373167100843492,0.00941391,0.32772302627563477,103885057,fully_connected_[12800  6400  3328]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[12800  6400  3328],329.1075050830841,164.50903046131134,0.12081823139400273,0.00943071,0.04297590255737305,103885057,fully_connected_[12800  6400  3328]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[1600  800  416],82.84767484664917,41.40242576599121,0.0298475090837304,0.0092278235,0.027621746063232422,1696033,fully_connected_[1600  800  416]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[1600  800  416],17.06184673309326,8.513328552246094,0.005961584957528027,0.009022377,0.014687299728393555,1696033,fully_connected_[1600  800  416]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[200 100  52],23.950183153152466,11.959719896316528,0.008374869867122218,0.00926264,0.012973785400390625,35605,fully_connected_[200 100  52]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[200 100  52],14.527810096740723,7.246932864189148,0.004991911619137495,0.009364199,0.01603078842163086,35605,fully_connected_[200 100  52]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[3200 1600  832],203.0245862007141,101.47633588314056,0.07381108270023332,0.009349037,0.05258369445800781,6617665,fully_connected_[3200 1600  832]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[3200 1600  832],29.748641967773438,14.85555350780487,0.010522964323833312,0.00902516,0.01630687713623047,6617665,fully_connected_[3200 1600  832]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[400 200 104],29.8604576587677,14.9148428440094,0.010553321558913906,0.009150438,0.013843297958374023,121609,fully_connected_[400 200 104]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[400 200 104],14.701668739318848,7.333105683326721,0.005051335135659018,0.00905273,0.013864517211914063,121609,fully_connected_[400 200 104]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[50 25 13],15.883981943130493,7.9277503490448,0.005252256847563244,0.010149239,0.01296687126159668,4177,fully_connected_[50 25 13]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[50 25 13],14.707924604415894,7.33643639087677,0.0048662332388070915,0.010207358,0.016357898712158203,4177,fully_connected_[50 25 13]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[6400 3200 1664],662.5955696105957,331.2099144458771,0.24213299663948926,0.009503301,0.09996461868286133,26137729,fully_connected_[6400 3200 1664]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[6400 3200 1664],79.00502586364746,39.47818922996521,0.028648108877105154,0.009229508,0.03432321548461914,26137729,fully_connected_[6400 3200 1664]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[800 400 208],44.78236484527588,22.374562621116638,0.015990054301726512,0.008967262,0.01591944694519043,444817,fully_connected_[800 400 208]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[800 400 208],15.268736362457275,7.61667799949646,0.00534209104684683,0.009035916,0.018283367156982422,444817,fully_connected_[800 400 208]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
